Close,High,Low,Open,Volume
TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
271.1518249511719,276.68371476590454,269.6706973520077,276.6301716350585,4622964
273.1682434082031,275.8092610891842,272.1510766031338,273.0254762759529,3690224
273.6678161621094,275.3095506383759,269.13523314012224,271.68704795239705,2416560
271.597900390625,276.54090208524,270.09893258898944,276.54090208524,2896028
273.293212890625,274.0962291870715,264.1566806310071,267.6720988154995,4371230
273.7748107910156,275.1310325118179,270.955346512368,274.0781853478035,2580872
264.6027526855469,272.1689318764777,262.3186091443405,270.1703226153275,4267152
274.8990783691406,300.86325617031554,265.8874565206229,271.2408952425146,2327814
269.9204406738281,278.02198423738616,269.06390334301864,276.59440023616725,1351288
271.04461669921875,274.0782320852375,268.06452263244586,270.1702173195501,2740076
273.23956298828125,275.9519855996499,271.7584576901758,273.0611149921334,1321452
